stack,rec,layer,concept_set,concept,method,n_proteins,pos_domains,pos_residues,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1,f1_lo,f1_hi,f1_se,f1_boot_mean,f1_bias,n_boot,boot_seed
pairformer,1,6,swissprot,helix,sae,100,300,2847,0.17277,0.09516,0.26757,0.47667,0.41296,0.5459,0.25362,0.15697,0.34845,0.04895,0.25311,0.00051,2000,0
pairformer,1,6,swissprot,helix,neuron,100,300,2847,0.1804,0.10487,0.25562,0.49,0.39448,0.58025,0.26371,0.17032,0.34409,0.04468,0.26136,0.00235,2000,0
pairformer,1,6,swissprot,helix,probe_raw,100,300,2847,0.33053,0.15876,0.51179,0.48667,0.30691,0.6581,0.39368,0.2205,0.54515,0.08277,0.38931,0.00437,2000,0
pairformer,1,6,swissprot,modified_residue:phosphoserine,sae,100,25,26,0.00893,0.0,0.02096,0.16,0.0,0.33333,0.01691,0.0,0.03883,0.00967,0.0169,2e-05,2000,0
pairformer,1,6,swissprot,modified_residue:phosphoserine,neuron,100,25,26,0.02174,0.00352,0.04626,0.24,0.03223,0.59278,0.03987,0.00656,0.08429,0.02008,0.0385,0.00137,2000,0
pairformer,1,6,swissprot,modified_residue:phosphoserine,probe_raw,100,25,26,0.01327,0.0,0.03181,0.24,0.0,0.46667,0.02516,0.0,0.05895,0.01478,0.02523,-7e-05,2000,0
pairformer,1,6,swissprot,region:disordered,sae,100,73,3949,0.47699,0.34954,0.60549,0.83562,0.75758,0.91176,0.60731,0.49135,0.69964,0.05411,0.60263,0.00468,2000,0
pairformer,1,6,swissprot,region:disordered,neuron,100,73,3949,0.33043,0.25094,0.40873,0.87671,0.79994,0.94805,0.47996,0.38806,0.56147,0.04461,0.4767,0.00327,2000,0
pairformer,1,6,swissprot,region:disordered,probe_raw,100,73,3949,0.78584,0.68246,0.86394,0.86301,0.77273,0.94384,0.82262,0.74884,0.87885,0.03433,0.8203,0.00232,2000,0
pairformer,1,6,swissprot,signal_peptide,sae,100,22,480,0.10619,0.04514,0.18944,0.54545,0.31812,0.75,0.17778,0.08036,0.28801,0.05439,0.17981,-0.00203,2000,0
pairformer,1,6,swissprot,signal_peptide,neuron,100,22,480,0.27835,0.08972,0.46211,0.36364,0.16667,0.58333,0.31533,0.1216,0.48065,0.08907,0.30319,0.01213,2000,0
pairformer,1,6,swissprot,signal_peptide,probe_raw,100,22,480,0.49336,0.35713,0.64505,0.90909,0.77778,1.0,0.63961,0.503,0.76202,0.06608,0.63874,0.00087,2000,0
pairformer,1,6,swissprot,turn,sae,100,82,281,0.02655,0.00966,0.04911,0.14634,0.0615,0.25808,0.04494,0.01673,0.07884,0.01624,0.04446,0.00049,2000,0
pairformer,1,6,swissprot,turn,neuron,100,82,281,0.07143,0.00855,0.14865,0.09756,0.01315,0.20005,0.08247,0.01053,0.15703,0.03863,0.0811,0.00138,2000,0
pairformer,1,6,swissprot,turn,probe_raw,100,82,281,0.03982,0.01542,0.06933,0.18293,0.07933,0.32076,0.06541,0.02636,0.10772,0.02116,0.06529,0.00012,2000,0
pairformer,1,20,secondary,secondary_structure:helix,sae,250,3202,38043,0.68754,0.66217,0.71304,0.87414,0.86061,0.88705,0.76969,0.75182,0.78648,0.00876,0.76944,0.00025,2000,0
pairformer,1,20,secondary,secondary_structure:helix,neuron,250,3202,38043,0.60072,0.57237,0.62864,0.85041,0.83372,0.86733,0.70408,0.68263,0.72505,0.01079,0.70414,-5e-05,2000,0
pairformer,1,20,secondary,secondary_structure:helix,probe_raw,250,3202,38043,0.74927,0.73284,0.76546,0.98657,0.98282,0.99029,0.8517,0.84064,0.86256,0.00541,0.85156,0.00014,2000,0
pairformer,1,20,secondary,secondary_structure:strand,sae,250,3429,12259,0.32894,0.30537,0.35022,0.59405,0.56938,0.61849,0.42342,0.40078,0.44422,0.01078,0.42297,0.00045,2000,0
pairformer,1,20,secondary,secondary_structure:strand,neuron,250,3429,12259,0.40897,0.38733,0.42883,0.64188,0.61441,0.67084,0.49962,0.47885,0.51801,0.00982,0.49909,0.00053,2000,0
pairformer,1,20,secondary,secondary_structure:strand,probe_raw,250,3429,12259,0.91505,0.90626,0.92292,0.76349,0.74378,0.7829,0.83243,0.81985,0.84497,0.00659,0.83226,0.00017,2000,0
pairformer,1,20,secondary,secondary_structure:coil,sae,250,6561,48809,0.66719,0.64789,0.6868,0.8392,0.82344,0.85488,0.74337,0.73009,0.75668,0.00702,0.74366,-0.00028,2000,0
pairformer,1,20,secondary,secondary_structure:coil,neuron,250,6561,48809,0.77519,0.75843,0.79104,0.76772,0.75732,0.77818,0.77144,0.76256,0.78017,0.00453,0.77155,-0.00011,2000,0
pairformer,1,20,secondary,secondary_structure:coil,probe_raw,250,6561,48809,0.88096,0.87341,0.88865,0.91343,0.90495,0.92129,0.8969,0.89074,0.90275,0.00303,0.89695,-4e-05,2000,0
pairformer,1,20,swissprot,beta_strand,sae,100,365,2103,0.14894,0.08955,0.20831,0.45753,0.38823,0.5375,0.22472,0.14785,0.28972,0.03694,0.22253,0.00219,2000,0
pairformer,1,20,swissprot,beta_strand,neuron,100,365,2103,0.13193,0.07981,0.18517,0.71507,0.62365,0.79235,0.22277,0.14278,0.29629,0.03938,0.22036,0.0024,2000,0
pairformer,1,20,swissprot,beta_strand,probe_raw,100,365,2103,0.22655,0.12059,0.34299,0.50959,0.36899,0.64063,0.31366,0.18823,0.42966,0.06078,0.31125,0.00241,2000,0
pairformer,1,20,swissprot,binding_site:substrate,sae,100,50,83,0.08108,0.0,0.19514,0.06,0.0,0.14709,0.06897,0.0,0.15385,0.03824,0.06967,-0.00071,2000,0
pairformer,1,20,swissprot,binding_site:substrate,neuron,100,50,83,0.02353,0.00537,0.0493,0.08,0.02173,0.14815,0.03636,0.00897,0.0708,0.01627,0.03603,0.00034,2000,0
pairformer,1,20,swissprot,binding_site:substrate,probe_raw,100,50,83,0.0354,0.00512,0.07765,0.26,0.0645,0.44186,0.06231,0.0095,0.12895,0.0311,0.06156,0.00075,2000,0
pairformer,1,20,swissprot,compositional_bias:basic_and_acidic_residues,sae,100,30,506,0.14118,0.05745,0.24212,0.26667,0.1304,0.42308,0.18462,0.08333,0.28662,0.05288,0.18249,0.00212,2000,0
pairformer,1,20,swissprot,compositional_bias:basic_and_acidic_residues,neuron,100,30,506,0.11864,0.0679,0.16949,0.43333,0.26667,0.59461,0.18628,0.11103,0.24639,0.03533,0.1824,0.00388,2000,0
pairformer,1,20,swissprot,compositional_bias:basic_and_acidic_residues,probe_raw,100,30,506,0.31858,0.2092,0.43117,0.83333,0.71875,0.95238,0.46095,0.33631,0.57371,0.06015,0.45821,0.00273,2000,0
pairformer,1,20,swissprot,compositional_bias:low_complexity,sae,100,16,278,0.19307,0.04021,0.35863,0.375,0.11111,0.66667,0.2549,0.06156,0.40605,0.08739,0.24493,0.00997,2000,0
pairformer,1,20,swissprot,compositional_bias:low_complexity,neuron,100,16,278,0.08097,0.02403,0.14778,0.4375,0.2,0.72742,0.13665,0.04305,0.23227,0.04935,0.13394,0.00271,2000,0
pairformer,1,20,swissprot,compositional_bias:low_complexity,probe_raw,100,16,278,0.14823,0.04787,0.22697,0.5625,0.30769,0.82612,0.23463,0.084,0.33877,0.06465,0.22582,0.00881,2000,0
pairformer,1,20,swissprot,compositional_bias:polar_residues,sae,100,19,279,0.08571,0.01149,0.18968,0.26316,0.04762,0.52632,0.12931,0.0198,0.25974,0.06263,0.12573,0.00358,2000,0
pairformer,1,20,swissprot,compositional_bias:polar_residues,neuron,100,19,279,0.07042,0.0186,0.11595,0.47368,0.2,0.72727,0.12262,0.03477,0.19535,0.04058,0.11873,0.00389,2000,0
pairformer,1,20,swissprot,compositional_bias:polar_residues,probe_raw,100,19,279,0.11062,0.03569,0.20227,0.68421,0.49946,0.86364,0.19045,0.06774,0.31995,0.06375,0.1884,0.00205,2000,0
pairformer,1,20,swissprot,disulfide_bond,sae,100,25,1179,0.31214,0.15584,0.61789,0.84,0.64286,1.0,0.45515,0.26113,0.72465,0.1297,0.48339,-0.02824,2000,0
pairformer,1,20,swissprot,disulfide_bond,neuron,100,25,1179,0.15166,0.07221,0.23334,0.56,0.333,0.8,0.23868,0.11939,0.34541,0.05653,0.23509,0.00358,2000,0
pairformer,1,20,swissprot,disulfide_bond,probe_raw,100,25,1179,0.29513,0.14476,0.54346,1.0,1.0,1.0,0.45576,0.25291,0.70421,0.12293,0.47183,-0.01607,2000,0
pairformer,1,20,swissprot,glycosylation:n-linked_glcnac_asparagine,sae,100,47,47,0.02009,0.0096,0.03374,0.68085,0.51163,0.84,0.03902,0.01889,0.06432,0.01161,0.03921,-0.00019,2000,0
pairformer,1,20,swissprot,glycosylation:n-linked_glcnac_asparagine,neuron,100,47,47,0.03318,0.01087,0.05587,0.14894,0.06447,0.23638,0.05426,0.01895,0.08532,0.01699,0.05291,0.00136,2000,0
pairformer,1,20,swissprot,glycosylation:n-linked_glcnac_asparagine,probe_raw,100,47,47,0.08407,0.04293,0.125,0.80851,0.65852,0.93333,0.1523,0.08101,0.2174,0.03428,0.15062,0.00169,2000,0
pairformer,1,20,swissprot,helix,sae,100,300,2847,0.19747,0.11903,0.27969,0.53333,0.45049,0.63132,0.28822,0.19426,0.37106,0.04549,0.28576,0.00246,2000,0
pairformer,1,20,swissprot,helix,neuron,100,300,2847,0.1573,0.08563,0.23592,0.41667,0.33492,0.5036,0.22838,0.13959,0.30878,0.04462,0.22539,0.00298,2000,0
pairformer,1,20,swissprot,helix,probe_raw,100,300,2847,0.28192,0.16554,0.40777,0.74667,0.65838,0.81001,0.4093,0.26788,0.52858,0.06679,0.4049,0.0044,2000,0
pairformer,1,20,swissprot,modified_residue:phosphoserine,sae,100,25,26,0.0339,0.0,0.10909,0.08,0.0,0.30769,0.04762,0.0,0.15,0.04502,0.0471,0.00052,2000,0
pairformer,1,20,swissprot,modified_residue:phosphoserine,neuron,100,25,26,0.03302,0.00826,0.06078,0.28,0.11101,0.42857,0.05907,0.01503,0.10345,0.02192,0.057,0.00208,2000,0
pairformer,1,20,swissprot,modified_residue:phosphoserine,probe_raw,100,25,26,0.01991,0.00529,0.03828,0.36,0.13043,0.66667,0.03774,0.01031,0.07125,0.01548,0.03784,-0.0001,2000,0
pairformer,1,20,swissprot,region:disordered,sae,100,73,3949,0.53539,0.42417,0.6293,0.93151,0.87496,0.98361,0.67996,0.5795,0.75547,0.0455,0.67615,0.00381,2000,0
pairformer,1,20,swissprot,region:disordered,neuron,100,73,3949,0.44573,0.32882,0.54716,0.93151,0.86207,0.98485,0.60295,0.48571,0.69114,0.05434,0.59709,0.00586,2000,0
pairformer,1,20,swissprot,region:disordered,probe_raw,100,73,3949,0.83673,0.75391,0.90246,0.90411,0.81818,0.97298,0.86911,0.805,0.91791,0.02855,0.86726,0.00185,2000,0
pairformer,1,20,swissprot,signal_peptide,sae,100,22,480,0.2093,0.06667,0.37145,0.31818,0.11765,0.52632,0.25251,0.0869,0.41103,0.08174,0.25189,0.00062,2000,0
pairformer,1,20,swissprot,signal_peptide,neuron,100,22,480,0.12981,0.06217,0.20887,0.59091,0.38889,0.8,0.21286,0.10847,0.32211,0.05396,0.21272,0.00014,2000,0
pairformer,1,20,swissprot,signal_peptide,probe_raw,100,22,480,0.62389,0.50214,0.7328,0.95455,0.85,1.0,0.75459,0.65046,0.83667,0.04743,0.75206,0.00253,2000,0
pairformer,1,20,swissprot,turn,sae,100,82,281,0.05455,0.01852,0.09859,0.14634,0.05882,0.25275,0.07947,0.02867,0.13462,0.02753,0.07814,0.00133,2000,0
