stack,rec,layer,concept_set,concept,method,precision,recall,f1,n_proteins
pairformer,1,20,swissprot,helix,sae,0.18889,0.47895,0.27093,60
pairformer,1,20,swissprot,modified_residue:phosphoserine,sae,0.04167,0.06667,0.05128,60
pairformer,1,20,swissprot,region:disordered,sae,0.48506,0.92308,0.63594,60
pairformer,1,20,swissprot,signal_peptide,sae,0.12791,0.75,0.21854,60
pairformer,1,20,swissprot,turn,sae,0.05072,0.14286,0.07487,60
pairformer,1,20,swissprot,beta_strand,neuron,0.1036,0.66502,0.17927,60
pairformer,1,20,swissprot,binding_site:substrate,neuron,0.02685,0.12121,0.04396,60
pairformer,1,20,swissprot,compositional_bias:basic_and_acidic_residues,neuron,0.095,0.64286,0.16554,60
pairformer,1,20,swissprot,compositional_bias:low_complexity,neuron,0.09091,0.33333,0.14286,60
pairformer,1,20,swissprot,compositional_bias:polar_residues,neuron,0.07634,0.33333,0.12422,60
pairformer,1,20,swissprot,disulfide_bond,neuron,0.12766,0.54545,0.2069,60
pairformer,1,20,swissprot,glycosylation:n-linked_glcnac_asparagine,neuron,0.0458,0.18182,0.07317,60
pairformer,1,20,swissprot,helix,neuron,0.18123,0.36842,0.24295,60
pairformer,1,20,swissprot,modified_residue:phosphoserine,neuron,0.03731,0.33333,0.06711,60
pairformer,1,20,swissprot,region:disordered,neuron,0.428,0.92308,0.58483,60
pairformer,1,20,swissprot,signal_peptide,neuron,0.11364,0.58333,0.19022,60
pairformer,1,20,swissprot,turn,neuron,0.04839,0.12245,0.06936,60
pairformer,1,20,swissprot,beta_strand,probe_raw,0.25284,0.59606,0.35507,60
pairformer,1,20,swissprot,binding_site:substrate,probe_raw,0.02128,0.15152,0.03731,60
pairformer,1,20,swissprot,compositional_bias:basic_and_acidic_residues,probe_raw,0.1773,0.78571,0.28932,60
pairformer,1,20,swissprot,compositional_bias:low_complexity,probe_raw,0.03901,0.66667,0.0737,60
pairformer,1,20,swissprot,compositional_bias:polar_residues,probe_raw,0.18794,0.83333,0.30671,60
pairformer,1,20,swissprot,disulfide_bond,probe_raw,0.19504,0.36364,0.25389,60
pairformer,1,20,swissprot,glycosylation:n-linked_glcnac_asparagine,probe_raw,0.10638,0.90909,0.19048,60
pairformer,1,20,swissprot,helix,probe_raw,0.34162,0.64211,0.44597,60
pairformer,1,20,swissprot,modified_residue:phosphoserine,probe_raw,0.02128,0.4,0.0404,60
pairformer,1,20,swissprot,region:disordered,probe_raw,0.75852,0.87179,0.81122,60
pairformer,1,20,swissprot,signal_peptide,probe_raw,0.51773,1.0,0.68224,60
pairformer,1,20,swissprot,turn,probe_raw,0.03191,0.16327,0.05339,60
pairformer,1,47,secondary,secondary_structure:helix,sae,0.69579,0.84391,0.76272,60
pairformer,1,47,secondary,secondary_structure:strand,sae,0.36509,0.69272,0.47817,60
pairformer,1,47,secondary,secondary_structure:coil,sae,0.58404,0.81992,0.68216,60
pairformer,1,47,secondary,secondary_structure:helix,neuron,0.74663,0.79949,0.77216,60
pairformer,1,47,secondary,secondary_structure:strand,neuron,0.34423,0.65499,0.45129,60
pairformer,1,47,secondary,secondary_structure:coil,neuron,0.6843,0.80409,0.73937,60
pairformer,1,47,secondary,secondary_structure:helix,probe_raw,0.82834,0.97208,0.89447,60
pairformer,1,47,secondary,secondary_structure:strand,probe_raw,0.85011,0.77493,0.81078,60
pairformer,1,47,secondary,secondary_structure:coil,probe_raw,0.83962,0.95053,0.89164,60
pairformer,1,47,swissprot,beta_strand,sae,0.1362,0.46305,0.21049,60
pairformer,1,47,swissprot,binding_site:substrate,sae,0.05455,0.09091,0.06818,60
pairformer,1,47,swissprot,compositional_bias:basic_and_acidic_residues,sae,0.14286,0.21429,0.17143,60
pairformer,1,47,swissprot,compositional_bias:low_complexity,sae,0.14286,0.33333,0.2,60
pairformer,1,47,swissprot,compositional_bias:polar_residues,sae,0.12548,0.83333,0.21811,60
pairformer,1,47,swissprot,disulfide_bond,sae,0.2069,0.81818,0.33028,60
pairformer,1,47,swissprot,glycosylation:n-linked_glcnac_asparagine,sae,0.02233,0.69697,0.04327,60
pairformer,1,47,swissprot,helix,sae,0.17241,0.53684,0.261,60
pairformer,1,47,swissprot,modified_residue:phosphoserine,sae,0.06667,0.06667,0.06667,60
pairformer,1,47,swissprot,region:disordered,sae,0.63878,0.76923,0.69796,60
pairformer,1,47,swissprot,signal_peptide,sae,0.09559,1.0,0.1745,60
pairformer,1,47,swissprot,turn,sae,0.4,0.04082,0.07407,60
pairformer,1,47,swissprot,beta_strand,neuron,0.10248,0.71921,0.17939,60
pairformer,1,47,swissprot,binding_site:substrate,neuron,1.0,0.0303,0.05882,60
pairformer,1,47,swissprot,compositional_bias:basic_and_acidic_residues,neuron,0.11364,0.28571,0.1626,60
pairformer,1,47,swissprot,compositional_bias:low_complexity,neuron,1.0,0.16667,0.28571,60
pairformer,1,47,swissprot,compositional_bias:polar_residues,neuron,0.09375,0.25,0.13636,60
pairformer,1,47,swissprot,disulfide_bond,neuron,0.09722,0.36364,0.15342,60
pairformer,1,47,swissprot,glycosylation:n-linked_glcnac_asparagine,neuron,0.00959,0.12121,0.01778,60
pairformer,1,47,swissprot,helix,neuron,0.18858,0.47368,0.26977,60
pairformer,1,47,swissprot,modified_residue:phosphoserine,neuron,0.11111,0.06667,0.08333,60
pairformer,1,47,swissprot,region:disordered,neuron,0.40746,0.94872,0.57007,60
pairformer,1,47,swissprot,signal_peptide,neuron,0.16667,0.33333,0.22222,60
pairformer,1,47,swissprot,turn,neuron,0.04167,0.10204,0.05917,60
pairformer,1,47,swissprot,beta_strand,probe_raw,0.19389,0.53695,0.2849,60
pairformer,1,47,swissprot,binding_site:substrate,probe_raw,0.02128,0.18182,0.0381,60
pairformer,1,47,swissprot,compositional_bias:basic_and_acidic_residues,probe_raw,0.12057,0.57143,0.19912,60
pairformer,1,47,swissprot,compositional_bias:low_complexity,probe_raw,0.03546,0.5,0.06623,60
pairformer,1,47,swissprot,compositional_bias:polar_residues,probe_raw,0.12811,0.75,0.21884,60
pairformer,1,47,swissprot,disulfide_bond,probe_raw,0.18085,0.45455,0.25875,60
pairformer,1,47,swissprot,glycosylation:n-linked_glcnac_asparagine,probe_raw,0.08865,0.75758,0.15873,60
pairformer,1,47,swissprot,helix,probe_raw,0.24618,0.69474,0.36354,60
pairformer,1,47,swissprot,modified_residue:phosphoserine,probe_raw,0.01064,0.2,0.0202,60
pairformer,1,47,swissprot,region:disordered,probe_raw,0.69673,0.97436,0.81248,60
pairformer,1,47,swissprot,signal_peptide,probe_raw,0.48582,1.0,0.65394,60
pairformer,1,47,swissprot,turn,probe_raw,0.03546,0.18367,0.05945,60
