shard,concept,method,own_field,real_pop_effect,null_pop_mean,null_pop_std,z_score,percentile_below,p_emp_right_tail,paired_vs_mean19,ci_lo,ci_hi,n_proteins,n_null_dirs
helix,Helix,probe,d_helix,0.03335887444179761,-0.0020286795448914707,0.005669856294248893,6.241349365870834,100.0,0.05,0.03538755398668909,0.024744539169545377,0.04907001934118295,97,19
helix_sae,Helix,SAE,d_helix,0.02629762259977608,-0.0020286795448914707,0.005669856294248893,4.99594710599628,100.0,0.05,0.02832630214466755,0.021150709835959784,0.03638241080287652,97,19
strand,Strand,probe,d_strand,0.0009698438383927212,0.0007583185126337119,0.0007914448968506434,0.2672647541234031,63.1578947368421,0.4,0.00021152532575900935,-0.0010525327050532774,0.0012713795925922463,97,19
strand_sae,Strand,SAE,d_strand,0.0015584921458267388,0.0007583185126337119,0.0007914448968506434,1.011028861740239,89.47368421052632,0.15,0.0008001736331930271,-0.0003521739355371304,0.002156538310566988,97,19
coil,Coil,probe,d_coil,0.06564167537045419,0.0012703610322577566,0.005583732908828328,11.52836559148813,100.0,0.05,0.06437131433819643,0.05095351432948176,0.07871080160336391,97,19
coil_sae,Coil,SAE,d_coil,0.0006696949159804167,0.0012703610322577566,0.005583732908828328,-0.10757429233902624,52.63157894736842,0.5,-0.0006006661162773402,-0.00577952123879206,0.004593451066888971,97,19
