shard,concept,method,k1,k2,k4,k8,k16,mean_k16,sem_k16,ci_lo,ci_hi,n
helix,Helix,probe,0.002378781847148153,0.0051180955980450315,0.011473672824267887,0.024270054346360863,0.03871857693445481,0.03871857693445481,0.008158249001013576,0.02428778427133136,0.056193549016178145,97
helix_sae,Helix,SAE,0.0011249143374952185,0.001452132177038198,0.006120058203723176,0.013421117528927986,0.02855932756307606,0.02855932756307606,0.004764222271221795,0.019744005054894757,0.03809124254453579,97
strand,Strand,probe,-0.00022262511955787592,0.0007893683591558529,0.00012329814446228072,-6.66737976766406e-05,-0.0006072226718559535,-0.0006072226718559535,0.0009664255574586178,-0.0027028067310279715,0.0010515596546781755,97
strand_sae,Strand,SAE,0.0004518526157997337,0.00019674921268164744,0.0006297927636713264,-0.000301451757678238,0.0005736025131680024,0.0005736025131680024,0.0010767217952431611,-0.001244337996958477,0.0029362439819784966,97
coil,Coil,probe,0.001645067735605715,0.005409057522758008,0.010078232070692816,0.02440211176682008,0.06128117725894198,0.06128117725894198,0.008514720721943848,0.045509322005114275,0.0784841616640557,97
coil_sae,Coil,SAE,0.0010807866015216374,0.0011435794032149216,0.0007036547335726451,0.0013824527556460342,0.001006507518129166,0.001006507518129166,0.0029395946467394413,-0.004586489053544062,0.006808074817887655,97
