shard,concept,method,mean_d_helix,mean_d_strand,mean_d_coil
helix,Helix,probe,0.03335887444179761,-0.00040454788409936094,-0.03295432655769825
helix_sae,Helix,SAE,0.02629762259977608,-0.0005535652097103436,-0.025744057390065734
strand,Strand,probe,-0.021854716511424493,0.0009698438383927212,0.020884872673031765
strand_sae,Strand,SAE,0.025881567332000893,0.0015584921458267388,-0.027440059477827634
coil,Coil,probe,-0.06514259800703925,-0.000499077363414938,0.06564167537045418
coil_sae,Coil,SAE,-0.000933898179048785,0.00026420326306836724,0.0006696949159804167
